Weapon,Manufacturer,Country, Action,Calibers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B-P-25,, Russia, Machine gun, 7.62 x 39 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B-A-30,, Russia, Assault rifle, 7.62 x 39 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B-A-30m,, Russia, Assault rifle, 7.62 x 39 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B-A-35,, Russia, Assault rifle, 7.62 x 39 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B-A-40,, Russia, Assault rifle, 7.62 x 39 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B-P-10,, Russia, Machine Gun, 7.62 x 54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B-P-40,, Russia, Machine Gun, 7.62 x 39 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-P,, Russia, Assault rifle, 7.62 x 39 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6P62,, Russia, Fully Automatic Rifle, hand-held, 12.7 x 108 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720-P,, Russia, Assault rifle, 7.62 x 39 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.002,, Russia, Assault Rifle/Automatic Grenade Launcher, 5.45 x 39 mm/12.7mm Grenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9A-91,, Russia, Compact Assault Rifle, 9 x 39 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873 Buntline Target,A. Uberti Srl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-91,, Russia, Assault Rifle, 7.62x39mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA12,, US, Automatic Shotgun, 12 gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA Leader Dynamics SAC,Australian Automatic Arms, Australia, Semi-Auto Carbine, 5.56 mm NATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA Leader Dynamics SAP,Australian Automatic Arms, Australia, Pistol, 5.56 mm NATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAB ACR,, US, Assault Rifle, 5.56 × 45 mm Fléchette: Advanced Combat Rifle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAI OICW,AAI Corporation, US, Assault Rifle/Grenade Launcher, 5.56 mm NATO/20 mm Grenade: Objective Individual Combat Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAI SBR,AAI Corporation, US, Assault Rifle, 4.32 × 45 mm: Serial Bullet Rifle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAI SFR,AAI Corporation, US, Assault Rifle, 5.56 mm Fléchette: Serial Flechette Rifle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAI XM19,AAI Corporation, US, Assault Rifle, 5.56 mm Fléchette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAI XM70,AAI Corporation, US, Assault Rifle, 5.56 mm Fléchette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAI SPIW,AAI Corporation, US, Assault Rifle/Grenade Launcher, 5.56 mm Fléchette/40 × 46 mm Grenade: Special Purpose Individual Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB-5.45,, Russia, Assault Rifle, 5.45x39mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB-7.62,, Russia, Assault Rifle, 7.62x39mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy International Arctic Warfare,Accuracy International, UK, Bolt Action Rifle, 7.62 mm NATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSG-90,Accuracy International, UK, Bolt Action Rifle, 7.62 mm NATO: Swedish Service Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy International AWP,Accuracy International, UK, Bolt Action Rifle, 7.62 mm NATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy International AWM,Accuracy International, UK, Bolt Action Rifle, 7 mm Remington Magnum, .300 Winchester Magnum,.338 Lapua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G22,Accuracy International, UK, Bolt Action Rifle, .300 Winchester Magnum: German Service Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L115A1,Accuracy International, UK, Bolt Action Rifle, .338 Lapua: British Service Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy International AWS,Accuracy International, UK, Bolt Action Rifle, Suppressed, 7.62 mm NATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy International AWS-Covert,Accuracy International, UK, Bolt Action Rifle, Integrally Suppressed, 7.62 mm NATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy International PM,Accuracy International, UK, Bolt Action Rifle, 7.62 mm NATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L96A1,Accuracy International, UK, Bolt Action Rifle, 7.62 mm NATO: British Service Weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accu-Tek AT32,Accu-Tek, US, Pistol, 7.65 × 17 mm Browning/.32 ACP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accu-Tek AT380,Accu-Tek, US, Pistol, 9 × 17 mm Browning Short/.380 ACP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accu-Tek BL9,Accu-Tek, US, Pistol, 9 × 19 mm Parabellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accu-Tek HC380,Accu-Tek, US, Pistol, 9 × 17 mm Browning Short/.380 ACP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accu-Tek XL9,Accu-Tek, US, Pistol, 9 × 19 mm Parabellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accu-Tek XL9,Accu-Tek, US, Pistol, 9 × 19 mm Parabellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Mk2,, UK, Revolver, .450 Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Mk3,, UK, Revolver, .450 Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Mk4,, UK, Revolver, .450 Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams-Wilmont,, UK, Aircraft Machine Gun, .303 British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adasa SMG,, Spain, SMG, 9 × 23 mm Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS Hezi SM-1,, Israel, Semi-Auto Carbine, .30 Carbine: Advanced Combat Systems Ltd. M1 Carbine Bullpup Conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
