1873 Buntline Target
A-91,Russia,Assault Rifle,7.62x39mm
AA12,US,Automatic Shotgun,12 gauge
AAA Leader Dynamics SAC,Australia,Semi-Auto Carbine,5.56 mm NATO
AAA Leader Dynamics SAP,Australia,Pistol,5.56 mm NATO
AAB ACR,US,Assault Rifle,5.56 × 45 mm Fléchette: Advanced Combat Rifle
AAI OICW,US,Assault Rifle,Grenade Launcher,5.56 mm NATO,20 mm Grenade: Objective Individual Combat Weapon
AAI SBR,US,Assault Rifle,4.32 × 45 mm: Serial Bullet Rifle
AAI SFR,US,Assault Rifle,5.56 mm Fléchette: Serial Flechette Rifle 
AAI XM19,US,Assault Rifle,5.56 mm Fléchette
AAI XM70,US,Assault Rifle,5.56 mm Fléchette
AAI SPIW,US,Assault Rifle,Grenade Launcher,5.56 mm Fléchette,40 × 46 mm Grenade: Special Purpose Individual Weapon
AB-5.45,Russia,Assault Rifle,5.45x39mm
AB-7.62,Russia,Assault Rifle,7.62x39mm
Accuracy International Arctic Warfare,UK,Bolt Action Rifle,7.62 mm NATO
PSG-90,UK,Bolt Action Rifle,7.62 mm NATO: Swedish Service Weapon
Accuracy International AWP,UK,Bolt Action Rifle,7.62 mm NATO
Accuracy International AWM,UK,Bolt Action Rifle,7 mm Remington Magnum, .300 Winchester Magnum,,.338 Lapua
G22,UK,Bolt Action Rifle,.300 Winchester Magnum: German Service Weapon
L115A1,UK,Bolt Action Rifle,.338 Lapua: British Service Weapon
Accuracy International AWS,UK,Bolt Action Rifle,Suppressed,7.62 mm NATO
Accuracy International AWS-Covert,UK,Bolt Action Rifle,Integrally Suppressed,7.62 mm NATO
Accuracy International PM,UK,Bolt Action Rifle,7.62 mm NATO
L96A1,UK,Bolt Action Rifle,7.62 mm NATO: British Service Weapon
Accu-Tek AT32,US,Pistol,7.65 × 17 mm Browning,.32 ACP
Accu-Tek AT380,US,Pistol,9 × 17 mm Browning Short,.380 ACP
Accu-Tek BL9,US,Pistol,9 × 19 mm Parabellum
Accu-Tek HC380,US,Pistol,9 × 17 mm Browning Short,.380 ACP
Accu-Tek XL9,US,Pistol,9 × 19 mm Parabellum
Adams Mk2,UK,Revolver,.450 Adams
Adams Mk3,UK,Revolver,.450 Adams
Adams Mk4,UK,Revolver,.450 Adams
Adams-Wilmont,UK,Aircraft Machine Gun,.303 British
Adasa SMG,Spain,SMG,9 × 23 mm Largo
ACS Hezi SM-1,Israel,Semi-Auto Carbine,.30 Carbine: Advanced Combat Systems Ltd. M1 Carbine Bullpup Conversion
ADI F88 Austeyr,Australia,Assault Rifle,5.56 mm NATO: Licensed Production Steyr AUG
ADI F89,Australia,LMG,5.56 mm NATO: Licensed Production FN MINIMI
Adler AP70,Italy,Semi-Auto Rifle,.22 LR
Adler AP85,Italy,Semi-Auto Rifle,.22 LR
Adler FAMAS 22,Italy,Semi-Auto Rifle,.22 LR
Adler T-26,Italy,Semi-Auto Rifle,.30-'06: M1 Garand Conversion
AE 732,Pistol
AEK-971,Russia,Assault Rifle,5.45 × 39 mm
AEK-972,Russia,Assault Rifle,5.56 × 45 mm
AEK-973,Russia,Assault Rifle,7.62 × 39 mm
AEK-978
AG-3,Norway,Battle Rifle,7.62 mm NATO: Licensed Production HK G3
Ag 90,US,Semi-Auto Rifle,.50 BMG: Barrett M82A1 in Swedish Service
AGRAM 2000,Croatia,SMG,9 × 19 mm Parabellum
AGRAM 2002,Croatia,SMG,9 × 19 mm Parabellum
AICW,Australia,Assault Rifle,Grenade Launcher,5.56 mm NATO,40 mm Grenade: Advanced Individual Combat Weapon
AJC-978V
Akdal Ghost(Turkey,Semi-automatic pistol,9x19mm Parabellum
Ak 4,Sweden,Battle Rifle,7.62 mm NATO: Licensed Production HK G3
Ak 5,Sweden,Assault Rifle,5.56 mm NATO: Licensed Production FN FNC
Ak 5B,Sweden,Assault Rifle,5.56 mm NATO
Ak 5C,Sweden,Assault Rifle,5.56 mm NATO
Ak 5D,Sweden,Compact Assault Rifle,5.56 mm NATO
AK-47,USSR,Assault Rifle,7.62×39mm
AK-74u,USSR -Carbine,5.45×39mm
AK-9,Russia,Assault Rifle,9×39mm
AK-97,Carbine,7.62×39mm
AKM,USSR,Assault Rifle,7.62×39mm
AK-101,Russia,Assault Rifle,5.56×45 mm NATO
AK-102,Russia,Carbine,5.56×45 mm NATO
AK-103,Russia,Assault Rifle,7.62×39mm
AK-104,Russia,Carbine,7.62×39mm
AK-105,Russia,Carbine,5.45×39mm
AK-106,Russia,Assault Rifle
AK-107,Russia,Assault Rifle,5.45×39mm
AK-108,Russia,Assault Rifle,5.56×45mm NATO
AK-200,5.45x39mm M74, 5.56x45mm NATO, 7.62x39mm
Akaba,Egypt,SMG,9 × 19 mm Parabellum
AL-4,Russia,Assault Rifle,5.45 × 39 mm: Experimental
AL-7,Russia,Assault Rifle,5.45 × 39 mm: Experimental
Albini-Braendlin M1867,Belgium,Single Shot Rifle,11 × 50 mmR Albini
Albini-Braendlin M1873,Belgium,Single Shot Rifle,11 × 50 mmR Albini
Albini-Braendlin M1873 Short Rifle,Belgium,Single Shot Carbine,11 × 42 mmR
Albini-Braendlin M1880,Belgium,Single Shot Rifle,11 × 50 mmR Albini
Alexander Arms 6.5 Grendel,US,Semi-Automatic Rifle, 6.5 mm Grendel
Alfa GP-1,Brazil,SMG,9 × 19 mm Parabellum
Al-Kadisa,Iraq,Semi-Auto Rifle,7.62 × 54 mmR
Alfa Model 44,Spain,MMG,7.92 × 57 mm Mauser
Alfa Model 55,Spain,MMG,7.62 mm NATO
ALFA Combat,Czech Republic,Pistols,9 × 19 mm Parabellum, .40 S&W,.45 ACP
ALFA Defender,Czech Republic,Pistols,9 × 19 mm Parabellum, .40 S&W,.45 ACP
Model 3520,Czech Republic,Revolvers,.357 Magnum
Model 3530,Czech Republic,Revolvers,.357 Magnum
Model 3531,Czech Republic,Revolvers,.357 Magnum
Model 3540,Czech Republic,Revolvers,.357 Magnum
Model 3541,Czech Republic,Revolvers,.357 Magnum
Model 3561,Czech Republic,Revolvers,.357 Magnum
Model 3563 Sport,Czech Republic,Revolvers,.357 Magnum
Series ALFA Steel,Czech Republic,Revolvers,.22 WMR Models
Series ALFA Steel,Czech Republic,Revolvers,.22 LR Models
Series ALFA Steel,Czech Republic,Revolvers,.32 S&W Models
Series ALFA Steel,Czech Republic,Revolvers,.38 Special Models
Series HOLEK,.38 Special, .32 S&W, .380 ALFA, .22 WMR, .22 LR
ALGIMEC AGMi(Italy,Semiauto Carbine,9 × 19 mm Parabellum
Alejandro sniper rifle,Cuba,Sniper Rifle,
Allin-Springfield
Allin-Springfield M1866,US,Single Shot Rifle,.50-70 Government
Allin-Springfield M1873,US,Single Shot Rifle,.45-70 Government
Allin-Springfield M1879,US,Single Shot Rifle,.45-70 Government
Allin-Springfield M1879 Carbine,US,Single Shot Carbine,.45-70 Government
Allin-Springfield M1884,US,Single Shot Rifle,.45-70 Government
Allin-Springfield M1884 Carbine,US,Single Shot Carbine,.45-70 Government
Allin-Springfield M1889,US,Single Shot Rifle,.45-70 Government
AMAC M600,US,Bolt Action Rifle,.50 BMG
AMD 65,Hungary,Assault Rifle,7.62 × 39 mm
American-180,US,SMG,.22 LR,.22 Short Magnum
American SAR 180,275,US,Semi-Auto Carbine,.22 LR
American Arms PK22,US,Pistol,.22 LR
AMP Technical Services DSR-1,Germany,Bolt Action Rifle
AMP-68,Hungary,Assault Rifle,7.62 × 39 mm
AMR-2,China,heavy anti-materiel sniper rifle 12.7 mm
AMT AutoMag,US,Pistol,.44 Magnum
AMT AutoMag II,US,Pistol,.22 Magnum
AMT AutoMag III,US,Pistol,.30 Carbine,9 mm Winchester Magnum
AMT AutoMag IV,US,Pistol,10 mm iAi Magnum,.45 Winchester Magnum
AMT AutoMag V,US,Pistol,.440 CorBon,.50 Action Express
AMT Backup .380,US,Pistol,9 × 17 mm Browning Short,.380 ACP
AMT Backup,US,Pistol,.45 ACP
AMT Hardballer,US,Pistol,.45 ACP
AMT Hardballer Longslide,US,Pistol,.45 ACP
AMT On Duty,US,Pistol,9 × 19 mm Parabellum,.40 S&W
AMT Skipper,US,Pistol,.45 ACP
AN11 TISS,Russia,Compact Assault Rifle,9 × 39 mm
AN-94,Russia,Assault Rifle,5.45 × 39 mm: Abakan
Andrews SMG,UK,SMG,9 × 19 mm Parabellum
ANM2 30.06,US,Aircraft Machine Gun,.30-'06
AO-9,Machine Gun,23 × 115 mm
AO-10
AO-16
AO-17,Russia,Rifle,7.62 × 53 mm
AO-18,Russia,Gatling Machine Gun,30mm
AO-27,Russia,Flechette Rifle,10 × 54 mm R
AO-31,Russia,Assault Rifle,7.62 × 39 mm
AO-35,Russia,Assault Rifle,7.62 × 39 mm
AO-38,Russia,Assault Rifle,5.45 × 39 mm
AO-44,Machine Pistol,9 × 18 mm
AO-46,Russia,Compact Assault Rifle,5.45 × 39 mm
AO-62,Russia,Assault Rifle,5.45 × 39 mm
AO-63,Russia,Assault Rifle,5.45 × 39 mm
AO-65,Russia,Assault Rifle,5.45 × 39 mm
AO-222,Russia,Assault Rifle,5.45 × 39 mm
AP-9,Pistol,9 × 19 mm Parabellum
Apache Revolver,France,Multi-Purpose Revolver,.7 mm
APS Stechkin,Russia,Machine Pistol,9 × 18 mm Makarov
APS Underwater Assault Rifle,Russia,Assault Rifle,5.66 × 29 mm MPS
APX 1895,France,Gatling Gun,8mm Lebel
ARAC SMG,Spain -SMG,9 × 19 mm Parabellum
Ares Shrike,US,LMG,5.56 mm NATO: Belt Fed Conversion for M16,M4,AR15
ARES-Stoner Model 86,US,LMG,5.56 mm NATO
ARES FMG,US,SMG,9 × 19 mm Parabellum
Arisaka Year 29,Japan,Bolt Action Rifle,6.5 × 50 mm
Arisaka Year 30,Japan,Bolt Action Rifle,6.5 × 50 mm
Arisaka Year 30 Cavalry Carbine,Japan,Bolt Action Carbine,6.5 × 50 mm
Arisaka Year 35 Infantry Rifle,Japan,Bolt Action Rifle,6.5 × 50 mm
Arisaka Year 38 Infantry Rifle,Japan,Bolt Action Rifle,6.5 × 50 mm
Arisaka Year 38 Cavalry Carbine,Japan,Bolt Action Carbine,6.5 × 50 mm
Arisaka Year 44 Cavalry Carbine,Japan,Bolt Action Carbine,6.5 × 50 mm
Arisaka Type 0 Parachutists' Rifle,Japan,Bolt Action Rifle,7.7 × 58 mm
Arisaka Type 1 Parachutists' Rifle,Japan,Bolt Action Rifle,6.5 × 50 mm
Arisaka Type 2 Parachutists' Rifle,Japan,Bolt Action Rifle,7.7 × 58 mm
Arisaka Type 99 Infantry Rifle,Japan,Bolt Action Rifle,7.7 × 58 mm
Armaguerra Cremona OG44,Italy,SMG,9 × 19 mm Parabellum
Armaguerra Cremona FNAB-43,Italy,SMG,9 × 19 mm Parabellum
Armaguerra Cremona TZ45,Italy,SMG,9 × 19 mm Parabellum
Armalite AR-1,US,Bolt Action Rifle,7.62 mm NATO
Armalite AR-2,US
Armalite AR-3,US,Semi-Auto Rifle,7.62 mm NATO
Armalite AR-4,US
Armalite AR-5,US,Bolt Action Rifle,.22 Hornet
Armalite AR-7,US,Semi-Auto Rifle,.22 LR
Armalite AR-8,US,Bolt Action Rifle,.270 Winchester
Armalite AR-9,US,Semi-Auto Shotgun,12 Gauge
Armalite AR-10,US,Battle Rifle,7.62 mm NATO
Armalite AR-10(T,US,Semi-Auto Rifle,7.62 mm NATO
Armalite AR-10A2 Carbine,US,Semi-Auto Carbine,7.62 mm NATO
ArmaLite AR-10A4 Carbine,US,Semi-Auto Carbine,7.62 mm NATO
Armalite AR-10B,US,Semi-Auto Rifle,7.62 mm NATO
Armalite AR-11,US,Assault Rifle,.222 Remington Magnum, 5.56×47mm
Armalite AR-12,US,Battle Rifle,7.62 mm NATO: Stamped Version of AR-10
Armalite AR-13,US,Machine Gun: Hyper Velocity Anti-Aircraft Machine Gun
Armalite AR-14,US,Semi-Auto Rifle,.243 Winchester, 7.62 mm NATO,,.358 Winchester: Sporter Version of AR-10
Armalite AR-15,US,Assault Rifle,5.56 mm NATO
Armalite M15A2 National Match,US,Semi-Auto Rifle,5.56 mm NATO
Armalite AR-16,US,Battle Rifle,7.62 mm NATO
Armalite AR-17,US,Semi-Auto Shotgun,12 Gauge
Armalite AR-18,US,Assault Rifle,5.56 mm NATO
Armalite AR-18S,US,Compact Assault Rifle,5.56 mm NATO
Armalite AR-180,US,Semi-Auto Rifle,5.56 mm NATO
Armalite AR-24,9 mm Semi-Auto Pistol
Armalite AR-30,US,Bolt Action Rifle,.308 Winchester, .300 Winchester Magnum, .338 Lapua
Armalite AR-50,US,Bolt Action Rifle,.50 BMG
Armalon BGR,UK,Bolt Action Rifle,.243 Winchester, 7.62 mm NATO,,.300 Winchester Magnum
Armalon PC,UK,Bolt Action Carbine,9 × 19 mm Parabellum, .38 Super, .357 Magnum, .40 S&W, 10 mm Norma, .41 Action Express, .41 Magnum, .44 Magnum, .45 ACP,,.50 Action Express
Armalon PR,UK,Bolt Action Rifle,5.56 mm NATO,7.62 mm NATO
Arminius HW7S,Revolver,.22 LR
Armitage Arms Pen Gun,AOW,.25 ACP
ARMSCOR AK 47,22,Philippines,Semi-Auto Rifle,.22 LR: Armaments Corporation Of Philippines
ARMSCOR M16,22,Philippines,Semi-Auto Rifle,.22 LR: Armaments Corporation Of Philippines
Armscor M1700,Philippines,Bolt-action Rifle,.17 HMR
Armscor M200,Philippines,Revolver: Armaments Corporation Of Philippines
Armscor M202,Philippines,Revolver: Armaments Corporation Of Philippines
Armscor M206,Philippines,Revolver: Armaments Corporation Of Philippines
Armscor M210,Philippines,Revolver: Armaments Corporation Of Philippines
Armsel Striker 12,South Africa,DA Shotgun,12 Gauge
Arms-Tech TTR-50,US,Bolt Action Rifle,.50 BMG
Arms-Tech TTR-700,US,Bolt Action Rifle,7.62 mm NATO
Arms-Tech COMPAK-16,US,Compact Assault Rifle,5.56 mm NATO
Arms Research KF-AMP,US,SMG,9 × 19 mm Parabellum
Armtech FAL SAS,Netherlands,Semi-Auto Carbine,7.62 mm NATO
Armtech HK51,Netherlands,Semi-Auto Carbine,7.62 mm NATO
Armtech SMOLT,US,Netherlands,Revolver,.357 Magnum: Custom S&W Model 19 with Colt Python barrel
Arquebus,Matchlock
Solothurn-Arsenal,Estonia,Anti-tank Rifle,20×105 mm B: Solothurn S-18,100 Copy
Arsenal AKSU,Bulgaria,Compact Assault Rifle,7.62 × 39 mm
Arsenal Bord,Bulgaria,SMG,9 × 18 mm Makarov
Arsenal Shipka,Bulgaria,SMG,9 × 18 mm Makarov
Arsenal SLR-95,Bulgaria,Semi-Auto Rifle,7.62 × 39 mm: AK47 Variant
Arsenal-USA SSR-99,US,Semi-Auto Rifle,7.62 × 39 mm: AK47 Variant
ARWEN 37,UK,DA Less Lethal Launcher,37 mm
ARWEN ACE,UK,Single-Shot Less Lethal Launcher,37 mm
AS Val,Russia,Compact Assault Rifle,9 × 39 mm
ASAI ONE-PRO 9,Switzerland,Pistol,9 × 19 mm Parabellum
ASAI ONE-PRO 45,Switzerland,Pistol,.400 Cor-Bon,.45 ACP
Aserma ADP Mk II,South Africa,Pistol,9 × 19 mm Parabellum
Ascaso Pistol,Spain,Pistol,9 × 23 mm Largo
AS-50 sniper rifle,United Kingdom,Anti Material Rifle,12.7x99mm NATO
ASHANI,India,Pistol,.32 ACP
ASP Pistol,US,Pistol,9 × 19 mm Parabellum: Custom S&W Model 39
ASP Revolver,US,Revolver,.44 Special: Custom Ruger Speed Six
ASTAR MAX 8800,Spain,Pistol,9 × 19 mm Parabellum
