B94 ,Russia , Semi,Auto Rifle , 12.7 × 108 mm,
Baby Nambu ,Japan , Pistol , 7 mm,,
Bacon Arms C. Pepperbox Revolver ,Revolver,,,,
Baikal MCM ,Russia , Pistol , .22 LR,,
Baikal MP 141k,Russia , Semi,Auto Carbine , .22 LR ; .22 Magnum,
Baikal MP,Russia , Semi,Auto Shotgun,,
Baikal,Russia , Pistol , 6.35 mm/.25ACP,,
Baikal,Russia , Pistol , 9 × 18 mm,,
Bajouzutsu revolver,,,,,
Baksan PDW ,Russia , Personal Defence Weapon , 9×18mm High Impulsedumbr ,,
Ballester Molina .22 ,Argentina , Pistol , .22LR,,
Ballester Molina Pistol ,Argentina , Pistol ,, .45 ACP,
Ballester Rigaud Carbine ,Argentina ,,, 9x19mm Parabellum ; .45 ACP,
Ballester Rigaud Pistol ,Argentina , Pistol , .45 ACP,,
Bang M1922 rifle ,US , Semi,automatic Rifle , .30'06 Springfield,
Barrett M82 ,US , Semi,Auto Rifle , .50 BMG,
Barrett M82A1 ,US , Semi,Auto Rifle , .50 BMG,
Barrett M82A1A ,US , Semi,Auto Rifle , .50 BMG,
Barrett M82A1M ,US , Semi,Auto Rifle , .50 BMG,
Barrett M82A2 ,US , Semi,Auto Rifle , .50 BMG,
Barrett M82A3 ,US , Semi,Auto Rifle , .50 BMG,
Barrett Model 90 ,US , Bolt Action Rifle , .50 BMG,,
Barrett Model 95 ,US , Bolt Action Rifle , .50 BMG,,
Barrett Model 98 ,US , Semi,Auto Rifle , .338 Lapua Magnum,
Barrett Model 98B ,US , Bolt Action Rifle , .338 Lapua Magnum,,
Barrett Model 99 ,US , Bolt Action Rifle , .50 BMG,,
Barrett M107 ,US , Semi,Auto Rifle , .50 BMG,
Barrett XM109 ,US , Semi,Auto Rifle , 25 × 59 mm Grenade,
Barrett M468 ,US , Semi,Auto Rifle , 6.8 × 43 mm SPC,
Barrett REC7 ,US , Semi,Auto Rifle , 6.8 × 43 mm SPC,
BARZ ,Transnistria , Sumbachine Gun , 9 × 18 mm Makarov,,
Bataan Modelo 70 ,Argentina , Shotgun , 12 Gauge,,
Bauer Automatic ,US,Pistol,.25 ACP ,6.35 mm Browning,
BCM Europearms Barrel Block,,,,,
BCM Europearms Bench Rest,,,,,
BCM Europearms Extreme,,,,,
BCM Europearms Extreme M.A.R.R.,,,,,
BCM Europearms Extreme STD,,,,,
BCM Europearms F,Class Open,,,,
BCM Europearms F,Class TR,,,,
BCM Europearms Hunter Bench Rest,,,,,
BCM Europearms Hunter Match,,,,,
BCM Europearms Hunter Field,,,,,
BCM Europearms M.A.R.R.,,,,,
BCM Europearms SLR,,,,,
BCM Europearms TMR,,,,,
BCM Europearms USR,,,,,
Beaumont,Vital M1871/88,,,,
Beholla Pistol ,Germany , Pistol , 7.65 × 17 mm;.32 ACP,,
Belgian M1871 Trooper's Revolver ,Belgium , Revolver , 11 × 17.5 mm French Ordnance,,
Belgian M1878 Officer's Revolver ,Belgium , Revolver , 9 × 23 mmR Nagant,,
Belgian M1883 NCO's Revolver ,Belgium , Revolver , 9 × 23 mmR Nagant,,
Bendix Hyde carbine ,US , Carbine , .30 Carbine,,
Benelli B76 ,Italy , Pistol , 7.65 × 21 mm Parabellum; 9 × 18 mm Ultra;9 × 19 mm Parabellum,,
Benelli B82 ,Italy , Pistol , 7.65 × 21 mm Parabellum; 9 × 18 mm Ultra; 9 × 19 mm Parabellum,,
Benelli B82 Sport ,Italy , Pistol , 7.65 × 21 mm Parabellum,,
Benelli Centro ,Italy , Semi,Auto Shotgun,,
Benelli Córdoba ,Italy , Semi,Auto Shotgun,,
Benelli Legacy ,Italy , Semi,Auto Shotgun,,
Benelli M1 ,Italy , Semi,Auto Shotgun , 12 Gauge,
Benelli M1 Entry Gun ,Italy , Semi,Auto Shotgun , 12 Gauge,
Benelli M1 Super 90 ,Italy , Semi,Auto Shotgun , 12 Gauge,
Benelli M1 Super 90 Field ,Italy , Semi,Auto Shotgun , 12 Gauge,
Benelli M1 Tactical ,Italy , Semi,Auto Shotgun , 12 Gauge,
Benelli M3 ,Italy , Semi,Auto/Pump Action Shotgun , 12 Gauge,
Benelli M3 Super 90 ,Italy , Semi,Auto/Pump Action Shotgun , 12 Gauge,
Benelli M3T ,Italy , Semi,Auto/Pump Action Shotgun , 12 Gauge,
Benelli M4 Super 90 ,Italy , Semi,Auto Shotgun , 12 Gauge,
Benelli Montefeltro 20 ,Italy , Semi,Auto Shotgun , 20 Gauge,
Benelli Nova ,Italy , Pump Action Shotgun,,,
Benelli Raffaello ,Italy , Semi,Auto Shotgun,,
Benelli Super Black Eagle ,Italy , Semi,Auto Shotgun,,
Benelli Supernova ,Italy , Pump Action Shotgun,,,
Benelli Ultra Lite ,Italy , Semi,Auto Shotgun,,
Benelli Vinci ,Italy , Semi,Auto Shotgun,,
Berdan rifle ,US/Russia , Rifle,,,
Beretta Machine Guns,,,,,
AR70/78 ,Italy , LMG , 5.56 mm NATO,,
AR70/84 ,Italy , LMG , 5.56 mm NATO,,
AS70/90 ,Italy , LMG , 5.56 mm NATO,,
MG42/59 ,Italy , GPMG , 7.62 mm NATO: Licensed Production Rheinmetall MG1A2,,
Beretta Pistols,,,,,
M1915 ,Italy , Pistol , 7.65 × 17 mm;.32 ACP, 9 × 17 mm;.380 ACP; 9 × 19 mm Glisenti,
M1915/19 ,Italy , Pistol , 7.65 × 17 mm;.32 ACP,,
M1917 ,Italy , Pistol , 7.65 × 17 mm;.32 ACP,,
M1922 ,Italy , Pistol , 7.65 × 17 mm;.32 ACP ; 9 × 17 mm;.380 ACP,,
M1923 ,Italy , Pistol , 9 × 19 mm Glisenti,,
M1931 ,Italy , Pistol , 7.65 × 17 mm;.32 ACP,,
M1932 ,Italy , Pistol , 7.65 × 17 mm;.32 ACP & 9 × 17 mm/.380 ACP,,
M1934 ,Italy , Pistol , 7.65 × 17 mm;.32 ACP ; 9 × 17 mm;.380 ACP,,
M1935 ,Italy , Pistol , 7.65 × 17 mm;.32 ACP,,
M1938 ,Italy , Pistol , 9 × 19 mm Parabellum: Prototype,,
M1948 ,Italy , Pistol , .22 LR,,
M948B ,Italy , Pistol , .22 LR,,
M1949C Olimpionica ,Italy , Pistol , .22 Short,,
M949CC ,Italy , Pistol , .22 LR,,
M949LR Olimpionica ,Italy , Pistol , .22 LR,,
M1950 ,Italy , Pistol , 9 × 19 mm Parabellum: Prototype for M951,,
M1951 ,Italy , Pistol , 9 × 19 mm Parabellum,,
Model 104 ,Italy , Pistol , 9 × 19 mm Parabellum,,
M951,A ,Italy , Machine Pistol , 9 × 19 mm Parabellum,
M951,R ,Italy , Machine Pistol , 9 × 19 mm Parabellum,
M951,S ,Italy , Pistol , 9 × 19 mm Parabellum: Target Model,
